time,r TA_C1.Vt,r TC_C1.Vt
0.0206206,12.6592,11.8367
0.0206707,12.6761,11.8536
0.0207207,12.6886,11866
0.0207708,12.6965,11.8739
0.0208208,12.6999,11.8772
0.0208709,12.6987,11.8761
0.0209209,12.6931,11.8705
0.020971,12.6829,11.8603
0.021021,12.6682,11.8457
0.0210711,12649,11.8265
0.0211211,12.6253,11.8029
0.0211712,12.5971,11.7747
0.0212212,12.5645,11.7421
0.0212713,12.5273,11.7051
0.0213213,12.4857,11.6635
0.0213714,12.4396,11.6176
0.0214214,12.3892,11.5672
0.0214715,12.3343,11.5124
0.0215215,12275,11.4533
0.0215716,12.2113,11.3898
0.0216216,12.1433,11.3219
0.0216717,12071,11.2498
0.0217217,11.9944,11.1733
0.0217718,11.9135,11.0926
0.0218218,11.8283,11.0077
0.0218719,11739,10.9185
0.0219219,11.6455,10.8252
0.021972,11.5478,10.7278
0.022022,11446,10.6263
0.0220721,11.3402,10.5207
0.0221221,11.2303,10411
0.0221722,11.1164,10.2974
0.0222222,10.9985,10.1799
0.0222723,10.8768,10.0584
0.0223223,10.7511,9.93312
0.0223724,10.6217,9.80399
0.0224224,10.4884,9.6711
0.0224725,10.3514,9.53449
0.0225225,10.2108,9.3942
0.0225726,10.0665,9.2503
0.0226226,9.91858,9.10283
0.0226727,9.76716,8.95185
0.0227227,9.61227,8.79741
0.0227728,9.45396,8.63956
0.0228228,9.29228,8.47837
0.0228729,9.12729,8.31389
0.0229229,8.95905,8.14618
0.022973,8.78762,7.9753
0.023023,8.61307,7.80131
0.0230731,8.43545,7.62428
0.0231231,8.25482,7.44428
0.0231732,8.07126,7.26136
0.0232232,7.88482,7.07559
0.0232733,7.69558,6.88704
0.0233233,7.50359,6.69579
0.0233734,7.30894,6.50189
0.0234234,7.11168,6.30543
0.0234735,6.91189,6.10647
0.0235235,6.70964,5.90508
0.0235736,6505,5.70135
0.0236236,6.29805,5.49535
0.0236737,6.08885,5.28715
0.0237237,5.87749,5.07684
0.0237738,5.66403,4.86449
0.0238238,5.44856,4.65018
0.0238739,5.23115,4434
0.0239239,5.01187,4.21602
0.023974,4.79081,3.99635
0.024024,4.56805,3.77506
0.0240741,4.34366,3.55224
0.0241241,4.11772,3.32799
0.0241742,3.89032,3.1024
0.0242242,3.66153,2.87557
0.0242743,3.43143,2.64761
0.0243243,3.20012,2.41864
0.0243744,2.96767,2.18877
0.0244244,2.73416,1.95814
0.0244745,2.49968,1.7269
0.0245245,2.2643,1.49526
0.0245746,2.02813,1.26343
0.0246246,1.79122,1.03177
0.0246747,1.55369,0.800781
0.0247247,1.3156,0.571414
0.0247748,1.07704,0.345836
0.0248248,0.838092,0.131826
0.0248749,0.59885,0.00191977
0.0249249,0.359395,1.83928e-07
0.024975,0.119813,-9.4698e-09
0.025025,-0.119813,-7.92943e-09
0.0250751,-0.359395,-7.03231e-09
0.0251251,-0.59885,-6.35483e-09
0.0251752,-0.838092,-5.83637e-09
0.0252252,-1.07704,-5.42496e-09
0.0252753,-1.3156,-5.01693e-09
0.0253253,-1.55369,-4.80147e-09
0.0253754,-1.79122,-4.48819e-09
0.0254254,-2.02813,"-4,344E-06"
0.0254755,-2.2643,-4.08642e-09
0.0255255,-2.49968,-3.98671e-09
0.0255756,-2.73416,-3.76528e-09
0.0256256,-2.96767,-3.6954e-09
0.0256757,-3.20012,-3.4989e-09
0.0257257,-3.43143,-3.45009e-09
0.0257758,-3.66153,-3.27159e-09
0.0258258,-3.89032,-3.23828e-09
0.0258759,-4.11772,-3.07321e-09
0.0259259,-4.34366,-3.05163e-09
0.025976,-4.56805,-2.89688e-09
0.026026,-4.79081,-2.88442e-09
0.0260761,-5.01187,-2.73776e-09
0.0261261,-5.23115,-2.73251e-09
0.0261762,-5.44856,-2.59231e-09
0.0262262,-5.66403,-2.59287e-09
0.0262763,-5.87749,-2.45791e-09
0.0263263,-6.08885,-2.46321e-09
0.0263764,-6.29805,-2.33255e-09
0.0264264,-6505,-2.34176e-09
0.0264765,-6.70964,-2.21468e-09
0.0265265,-6.91189,-2.22715e-09
0.0265766,-7.11168,-2.10306e-09
0.0266266,-7.30894,-2.11828e-09
0.0266767,-7.50359,-1.99671e-09
0.0267267,-7.69558,-2.01426e-09
0.0267768,-7.88482,-1.89483e-09
0.0268268,-8.07126,-1.91436e-09
0.0268769,-8.25482,-1.79677e-09
0.0269269,-8.43545,"-1,818E-06"
0.026977,-8.61307,-1.70199e-09
0.027027,-8.78762,-1.72469e-09
0.0270771,-8.95905,-1.61004e-09
0.0271271,-9.12729,"-1,634E-06"
0.0271772,-9.29228,-1.52053e-09
0.0272272,-9.45396,-1.54559e-09
0.0272773,-9.61227,-1.43314e-09
0.0273273,-9.76716,-1.45916e-09
0.0273774,-9.91858,-1.34761e-09
0.0274274,-10.0665,-1.37446e-09
