time,r TA_C2.Vt,r TC_C2.Vt
0.0193322,10.7201,9.85727
0.0193823,10.8468,9.9845
0.0194324,10.9695,10.1079
0.0194825,11.0884,10.2274
0.0195326,11.2033,10343
0.0195826,11.3143,10.4546
0.0196327,11.4212,10.5622
0.0196828,11524,10.6657
0.0197329,11.6227,10.7652
0.019783,11.7173,10.8606
0.0198331,11.8077,10.9518
0.0198831,11.8939,11.0388
0.0199332,11.9758,11.1217
0.0199833,12.0535,11.2003
0.0200334,12.1269,11.2747
0.0200835,12.1959,11.3448
0.0201336,12.2606,11.4106
0.0201836,12321,11.4721
0.0202337,12.3769,11.5292
0.0202838,12.4284,11.5821
0.0203339,12.4755,11.6305
0.020384,12.5182,11.6746
0.0204341,12.5564,11.7143
0.0204841,12.5901,11.7497
0.0205342,12.6193,11.7806
0.0205843,12.6441,11.8072
0.0206344,12.6643,11.8295
0.0206845,12.68,11.8474
0.0207346,12.6912,11.8609
0.0207846,12.6979,11.8702
0.0208347,12.7,11.8752
0.0208848,12.6976,11876
0.0209349,12.6907,11.8727
0.020985,12.6793,11.8653
0.0210351,12.6633,11854
0.0210851,12.6428,11.8389
0.0211352,12.6178,11.8203
0.0211853,12.5884,11.7983
0.0212354,12.5544,11.7735
0.0212855,12516,11.7462
0.0213356,12473,11.7169
0.0213856,12.4257,11.6862
0.0214357,12.3739,11.6547
0.0214858,12.3177,11.6227
0.0215359,12.2571,11.5906
0.021586,12.1922,11.5584
0.0216361,12.1229,11.5263
0.0216861,12.0493,11.4943
0.0217362,11.9714,11.4624
0.0217863,11.8892,11.4305
0.0218364,11.8028,11.3987
0.0218865,11.7121,11.3671
0.0219366,11.6173,11.3355
0.0219866,11.5184,11304
0.0220367,11.4153,11.2726
0.0220868,11.3082,11.2413
0.0221369,11.1971,11.21
0.022187,11.0819,11.1789
0.0222371,10.9628,11.1478
0.0222871,10.8398,11.1168
0.0223372,10713,11086
0.0223873,10.5823,11.0552
0.0224374,10.4478,11.0244
0.0224875,10.3096,10.9938
0.0225376,10.1678,10.9633
0.0225876,10.0223,10.9328
0.0226377,9.87325,10.9024
0.0226878,9.72067,10.8721
0.0227379,9.56463,10.8419
0.022788,9.40519,10.8118
0.0228381,9.24238,10.7817
0.0228881,9.07629,10.7518
0.0229382,8.90696,10.7219
0.0229883,8.73445,10.6921
0.0230384,8.55883,10.6624
0.0230885,8.38016,10.6328
0.0231386,8.1985,10.6032
0.0231886,8.01392,10.5738
0.0232387,7.82648,10.5444
0.0232888,7.63625,10.5151
0.0233389,7.4433,10.4859
0.023389,7.2477,10.4568
0.0234391,7.04951,10.4277
0.0234891,6.84881,10.3987
0.0235392,6.64567,10.3698
0.0235893,6.44016,10341
0.0236394,6.23235,10.3123
0.0236895,6.02232,10.2836
0.0237396,5.81015,10.2551
0.0237896,5.5959,10.2266
0.0238397,5.37966,10.1982
0.0238898,5.1615,10.1698
0.0239399,4.9415,10.1416
0.02399,4.71974,10.1134
0.0240401,4.4963,10.0853
0.0240902,4.27125,10.0573
0.0241402,4.04468,10.0293
0.0241903,3.81667,10.0014
0.0242404,3.5873,9.97365
0.0242905,3.35665,9.94594
0.0243406,3.1248,9.91831
0.0243907,2.89184,9.89075
0.0244407,2.65785,9.86327
0.0244908,2.42291,9.83586
0.0245409,2.18711,9.80853
0.024591,1.95053,9.78128
0.0246411,1.71325,9.7541
0.0246912,1.47536,9727
0.0247412,1.23695,9.69997
0.0247913,0.998091,9.67302
0.0248414,0.75888,9.64614
0.0248915,0.519398,9.61934
